gene5	chrom5	strand5	brpos5	cds.brpos5.start	gene3	chrom3	strand3	brpos3	cds.brpos3.start	fusionName	symbol5	symbol3	SR.passed	MR.passed	supportRead	score	info	Sample
ENSG00000128891	15	-	40854971	40855031	ENSG00000122565	7	+	26241377	26241373	ENSG00000128891-ENSG00000122565	C15orf57	CBX3	0	2	3	3	NA	/2260_PR40961e_1
ENSG00000163872	3	+	183454617	183454508	ENSG00000104164	15	+	45890078	45890573	ENSG00000163872-ENSG00000104164	YEATS2	BLOC1S6	0	2	3	3	NA	/2260_PR40961e_1
ENSG00000156876	1	-	100568511	100568561	ENSG00000170820	2	-	49247299	49247296	ENSG00000156876-ENSG00000170820	SASS6	FSHR	0	2	3	3	NA	/2260_PR40961e_1
ENSG00000005075	7	-	102114778	102114808	ENSG00000228049	7	-	102307711	102306611	ENSG00000005075-ENSG00000228049	POLR2J		1	0	19	4.91666666666667		/2260_PR40962a_1
ENSG00000101294	20	+	30135409	30135359	ENSG00000232119	X	+	119739262	119739344	ENSG00000101294-ENSG00000232119	HM13	MCTS1	0	4	4	4	cytosolic ribosomal subunit, ribonucleoprotein, 	/2260_PR40962a_1
ENSG00000198382	11	+	75589529	75589456	ENSG00000108474	17	+	16215701	16215817	ENSG00000198382-ENSG00000108474	UVRAG	PIGL	0	2	3	3		/2260_PR40962a_1
ENSG00000156642	15	-	73925466	73925512	ENSG00000128274	22	-	43091637	43091633	ENSG00000156642-ENSG00000128274	NPTN	A4GALT	0	96	96	96	NA	/2260_PR40963a_1
ENSG00000132958	13	-	20000565	20000565	ENSG00000166157	21	-	10908895	10908825	ENSG00000132958-ENSG00000166157	TPTE2	TPTE	15	0	16	13	NA	/2260_PR40964a_1
ENSG00000196678	16	-	20817109	20817154	ENSG00000152700	5	-	133948827	133948895	ENSG00000196678-ENSG00000152700	ERI2	SAR1B	0	10	10	9.5	NA	/2260_PR40964a_1
ENSG00000152700	5	-	133948766	133948850	ENSG00000083828	19	+	58310604	58310802	ENSG00000152700-ENSG00000083828	SAR1B	ZNF586	0	4	4	4	NA	/2260_PR40964a_1
ENSG00000003393	2	-	202587766	202587797	ENSG00000079156	2	+	179213951	179213952	ENSG00000003393-ENSG00000079156	ALS2	OSBPL6	0	28	53	52	NA	/2260_PR40965f_1
ENSG00000151532	10	+	114224416	114224376	ENSG00000108018	10	-	108716338	108716335	ENSG00000151532-ENSG00000108018	VTI1A	SORCS1	0	13	32	32	NA	/2260_PR40965f_1
ENSG00000099942	22	+	21272533	21272490	ENSG00000113389	5	+	32724804	32724805	ENSG00000099942-ENSG00000113389	CRKL	NPR3	0	8	13	13	NA	/2260_PR40965f_1
ENSG00000261567	16	+	85391249	85391197	ENSG00000131149	16	+	85667520	85667521	ENSG00000261567-ENSG00000131149		GSE1	0	5	8	7	NA	/2260_PR40965f_1
ENSG00000178928	19	-	48322229	48322282	ENSG00000136235	7	+	23306100	23306101	ENSG00000178928-ENSG00000136235	TPRX1	GPNMB	0	6	6	6	NA	/2260_PR40965f_1
ENSG00000203727	6	+	147830523	147830443	ENSG00000111961	6	+	148711270	148711272	ENSG00000203727-ENSG00000111961	SAMD5	SASH1	0	2	4	4	NA	/2260_PR40965f_1
ENSG00000249459	17	-	18584928	18584934	ENSG00000118689	6	+	108882289	108882300	ENSG00000249459-ENSG00000118689	ZNF286B	FOXO3	0	3	3	3	NA	/2260_PR40965f_1
ENSG00000100393	22	+	41546202	41546152	ENSG00000188107	6	-	64709076	64709073	ENSG00000100393-ENSG00000188107	EP300	EYS	0	16	19	19		/2260_PR40966a_1
ENSG00000122566	7	-	26235467	26235516	ENSG00000110075	11	+	68272613	68272614	ENSG00000122566-ENSG00000110075	HNRNPA2B1	PPP6R3	0	15	16	16	ribonucleoprotein, 	/2260_PR40966a_1
ENSG00000150712	5	-	32312864	32312914	ENSG00000184208	22	+	42089467	42089468	ENSG00000150712-ENSG00000184208	MTMR12	C22orf46	0	9	10	10		/2260_PR40966a_1
ENSG00000261567	16	+	85391249	85391218	ENSG00000131149	16	+	85645015	85645137	ENSG00000261567-ENSG00000131149		GSE1	0	7	9	8		/2260_PR40966a_1
ENSG00000178928	19	-	48322229	48322278	ENSG00000136235	7	+	23306100	23306101	ENSG00000178928-ENSG00000136235	TPRX1	GPNMB	0	6	6	6		/2260_PR40966a_1
ENSG00000213799	19	+	53844575	53844510	ENSG00000197497	19	-	53686196	53686155	ENSG00000213799-ENSG00000197497	ZNF845	ZNF665	0	6	6	6		/2260_PR40966a_1
ENSG00000104904	19	+	2272776	2272748	ENSG00000071626	19	+	1417499	1417527	ENSG00000104904-ENSG00000071626	OAZ1	DAZAP1	0	5	5	5		/2260_PR40966a_1
ENSG00000225119	10	+	38734535	38734404	ENSG00000203880	20	+	62919032	62919067	ENSG00000225119-ENSG00000203880	LINC00999	PCMTD2	0	3	4	4		/2260_PR40966a_1
ENSG00000113360	5	-	31421431	31421457	ENSG00000083720	5	-	41731872	41731848	ENSG00000113360-ENSG00000083720	DROSHA	OXCT1	0	2	4	4		/2260_PR40966a_1
ENSG00000094755	5	+	170192386	170192157	ENSG00000164265	5	+	147251061	147251087	ENSG00000094755-ENSG00000164265	GABRP	SCGB3A2	0	3	3	3		/2260_PR40966a_1
ENSG00000077063	7	-	117364601	117364673	ENSG00000184708	22	-	31854636	31854522	ENSG00000077063-ENSG00000184708	CTTNBP2	EIF4ENIF1	0	3	3	3	ribonucleoprotein, 	/2260_PR40966a_1
ENSG00000196417	19	+	53898446	53898423	ENSG00000170949	19	-	53589341	53589346	ENSG00000196417-ENSG00000170949	ZNF765	ZNF160	0	2	3	3		/2260_PR40966a_1
ENSG00000203727	6	+	147830523	147830422	ENSG00000111961	6	+	148711270	148711272	ENSG00000203727-ENSG00000111961	SAMD5	SASH1	0	2	3	3		/2260_PR40966a_1
ENSG00000164265	5	+	147251884	147251584	ENSG00000094755	5	+	170191918	170192017	ENSG00000164265-ENSG00000094755	SCGB3A2	GABRP	0	2	3	3		/2260_PR40966a_1
ENSG00000257207	2	-	111181238	111181289	ENSG00000144063	2	-	110849347	110849236	ENSG00000257207-ENSG00000144063		MALL	0	2	3	3		/2260_PR40966a_1
ENSG00000122497	1	-	148017502	148017664	ENSG00000203836	1	-	147581622	147581621	ENSG00000122497-ENSG00000203836	NBPF14	NBPF24	2	0	758	18.6119498746008	NA	/2260_PR40966d_1
ENSG00000100393	22	+	41546202	41546150	ENSG00000188107	6	-	64709076	64709073	ENSG00000100393-ENSG00000188107	EP300	EYS	0	10	15	15	NA	/2260_PR40966d_1
ENSG00000142973	1	+	47280936	47280936	ENSG00000186377	1	+	47427036	47427428	ENSG00000142973-ENSG00000186377	CYP4B1	CYP4X1	6	0	11	11	NA	/2260_PR40966d_1
ENSG00000261567	16	+	85391249	85391199	ENSG00000131149	16	+	85667520	85667521	ENSG00000261567-ENSG00000131149		GSE1	0	9	11	10	NA	/2260_PR40966d_1
ENSG00000178928	19	-	48322229	48322282	ENSG00000136235	7	+	23306136	23306136	ENSG00000178928-ENSG00000136235	TPRX1	GPNMB	0	7	7	7	NA	/2260_PR40966d_1
ENSG00000162813	1	-	220236141	220236133	ENSG00000232774	14	+	62124323	62124916	ENSG00000162813-ENSG00000232774	BPNT1		0	6	6	6	NA	/2260_PR40966d_1
ENSG00000150712	5	-	32312864	32312910	ENSG00000184208	22	+	42089467	42089508	ENSG00000150712-ENSG00000184208	MTMR12	C22orf46	0	4	6	6	NA	/2260_PR40966d_1
ENSG00000123104	12	-	26834807	26834913	ENSG00000067141	15	+	73514260	73514265	ENSG00000123104-ENSG00000067141	ITPR2	NEO1	0	5	5	5	NA	/2260_PR40966d_1
ENSG00000117395	1	-	43727513	43727563	ENSG00000213366	1	+	110212258	110212344	ENSG00000117395-ENSG00000213366	EBNA1BP2	GSTM2	0	5	5	5	NA	/2260_PR40966d_1
ENSG00000128891	15	-	40854971	40855037	ENSG00000122565	7	+	26241377	26241368	ENSG00000128891-ENSG00000122565	C15orf57	CBX3	0	3	5	5	NA	/2260_PR40966d_1
ENSG00000197372	19	-	23710720	23710816	ENSG00000213096	19	+	24286988	24288742	ENSG00000197372-ENSG00000213096	ZNF675	ZNF254	5	0	9	4.5	NA	/2260_PR40966d_1
ENSG00000148110	9	+	97203381	97203267	ENSG00000196312	9	-	99696197	99696197	ENSG00000148110-ENSG00000196312	HIATL1	HIATL2	4	0	4	4	NA	/2260_PR40966d_1
ENSG00000139531	12	+	56393242	56393253	ENSG00000140379	15	-	80253516	80253450	ENSG00000139531-ENSG00000140379	SUOX	BCL2A1	0	3	3	3	NA	/2260_PR40966d_1
ENSG00000173208	12	-	39967518	39967579	ENSG00000139116	12	-	39764063	39764049	ENSG00000173208-ENSG00000139116	ABCD2	KIF21A	0	3	3	3	NA	/2260_PR40966d_1
ENSG00000142973	1	+	47280936	47280936	ENSG00000186377	1	+	47427036	47427428	ENSG00000142973-ENSG00000186377	CYP4B1	CYP4X1	11	0	45	45	NA	/2260_PR40966e_1
ENSG00000173208	12	-	39967518	39967584	ENSG00000139116	12	-	39764063	39764061	ENSG00000173208-ENSG00000139116	ABCD2	KIF21A	0	8	9	9	NA	/2260_PR40966e_1
ENSG00000161040	7	-	102462487	102462591	ENSG00000135205	7	+	76796975	76796977	ENSG00000161040-ENSG00000135205	FBXL13	CCDC146	0	4	4	4	NA	/2260_PR40966e_1
ENSG00000104375	8	-	99538970	99539062	ENSG00000132549	8	+	100205104	100205107	ENSG00000104375-ENSG00000132549	STK3	VPS13B	0	4	4	4	NA	/2260_PR40966e_1
ENSG00000197927	2	+	132494259	132494178	ENSG00000172915	13	+	35644089	35644109	ENSG00000197927-ENSG00000172915	C2orf27A	NBEA	0	3	4	4	NA	/2260_PR40966e_1
ENSG00000257207	2	-	111181238	111181299	ENSG00000144063	2	-	110849347	110849275	ENSG00000257207-ENSG00000144063		MALL	0	3	4	4	NA	/2260_PR40966e_1
ENSG00000157895	12	-	121450233	121450452	ENSG00000147872	9	-	19123645	19123642	ENSG00000157895-ENSG00000147872	C12orf43	PLIN2	0	3	3	3	NA	/2260_PR40966e_1
ENSG00000203727	6	+	147830523	147830443	ENSG00000111961	6	+	148711270	148711291	ENSG00000203727-ENSG00000111961	SAMD5	SASH1	0	2	3	3	NA	/2260_PR40966e_1
ENSG00000196588	22	-	41032482	41032516	ENSG00000241973	22	-	21073110	21073107	ENSG00000196588-ENSG00000241973	MKL1	PI4KA	0	11	17	17		/2260_PR40967a_1
ENSG00000154040	18	+	21728689	21728635	ENSG00000140379	15	-	80260034	80260010	ENSG00000154040-ENSG00000140379	CABYR	BCL2A1	0	4	12	12		/2260_PR40967a_1
ENSG00000100393	22	+	41489102	41489066	ENSG00000100416	22	+	46733676	46733676	ENSG00000100393-ENSG00000100416	EP300	TRMU	0	5	7	7		/2260_PR40967a_1
ENSG00000196182	1	-	36851324	36851394	ENSG00000113360	5	-	31410994	31410991	ENSG00000196182-ENSG00000113360	STK40	DROSHA	0	2	6	6		/2260_PR40967a_1
ENSG00000109861	11	-	88029327	88029421	ENSG00000123892	11	-	87908601	87908409	ENSG00000109861-ENSG00000123892	CTSC	RAB38	0	4	5	5		/2260_PR40967a_1
ENSG00000243156	22	-	18484159	18484205	ENSG00000033800	15	+	68434284	68434285	ENSG00000243156-ENSG00000033800	MICAL3	PIAS1	0	4	5	5		/2260_PR40967a_1
ENSG00000204084	1	-	38407755	38407917	ENSG00000178199	6	-	149769181	149769181	ENSG00000204084-ENSG00000178199	INPP5B	ZC3H12D	0	4	4	4	ribonucleoprotein, 	/2260_PR40967a_1
ENSG00000196419	22	+	42054356	42054300	ENSG00000100427	22	-	50523390	50523371	ENSG00000196419-ENSG00000100427	XRCC6	MLC1	0	3	4	4		/2260_PR40967a_1
ENSG00000031823	19	-	5976392	5976555	ENSG00000177889	12	-	93801099	93800926	ENSG00000031823-ENSG00000177889	RANBP3	UBE2N	0	3	3	3		/2260_PR40967a_1
ENSG00000132313	2	+	86433418	86433324	ENSG00000156110	10	+	76287518	76287523	ENSG00000132313-ENSG00000156110	MRPL35	ADK	0	3	3	3	mitochondrial translation, ribonucleoprotein, 	/2260_PR40967a_1
ENSG00000082068	5	+	37381787	37381745	ENSG00000255346	15	+	69339162	69339164	ENSG00000082068-ENSG00000255346	WDR70	NOX5	0	3	3	3		/2260_PR40967a_1
ENSG00000033327	11	-	78128692	78128720	ENSG00000149262	11	-	77622198	77622195	ENSG00000033327-ENSG00000149262	GAB2	INTS4	0	89	102	101		/2260_PR40968a_1
ENSG00000121892	4	-	39978060	39978089	ENSG00000153707	9	-	9018735	9018735	ENSG00000121892-ENSG00000153707	PDS5A	PTPRD	0	60	101	98		/2260_PR40968a_1
ENSG00000107077	9	+	6893232	6893187	ENSG00000185774	4	-	20760513	20760510	ENSG00000107077-ENSG00000185774	KDM4C	KCNIP4	0	42	44	44		/2260_PR40968a_1
ENSG00000107164	9	+	133501892	133501859	ENSG00000138439	2	+	203589640	203589640	ENSG00000107164-ENSG00000138439	FUBP3	FAM117B	0	31	43	43		/2260_PR40968a_1
ENSG00000137198	6	+	16250598	16250547	ENSG00000168214	4	+	26321332	26321508	ENSG00000137198-ENSG00000168214	GMPR	RBPJ	0	33	51	41		/2260_PR40968a_1
ENSG00000110237	11	+	73022875	73022831	ENSG00000139133	12	+	34175216	34175224	ENSG00000110237-ENSG00000139133	ARHGEF17	ALG10	0	27	41	35		/2260_PR40968a_1
ENSG00000036257	2	-	225421012	225421132	ENSG00000144893	3	+	150903117	150903118	ENSG00000036257-ENSG00000144893	CUL3	MED12L	0	26	33	28		/2260_PR40968a_1
ENSG00000151240	10	-	394581	394624	ENSG00000134532	12	-	24073548	24073346	ENSG00000151240-ENSG00000134532	DIP2C	SOX5	0	21	26	26		/2260_PR40968a_1
ENSG00000165895	11	+	100609229	100609177	ENSG00000249693	4	+	57418715	57418744	ENSG00000165895-ENSG00000249693	ARHGAP42	THEGL	0	23	30	25.25		/2260_PR40968a_1
ENSG00000114268	3	-	48594114	48594151	ENSG00000114302	3	-	48831482	48831480	ENSG00000114268-ENSG00000114302	PFKFB4	PRKAR2A	0	16	23	23		/2260_PR40968a_1
ENSG00000153046	6	+	4777041	4776998	ENSG00000164663	6	-	41859613	41859611	ENSG00000153046-ENSG00000164663	CDYL	USP49	0	18	20	20		/2260_PR40968a_1
ENSG00000196678	16	-	20817109	20817148	ENSG00000083828	19	+	58310604	58310606	ENSG00000196678-ENSG00000083828	ERI2	ZNF586	0	10	19	18		/2260_PR40968a_1
ENSG00000064999	6	+	34962199	34962133	ENSG00000112079	6	-	36493419	36493418	ENSG00000064999-ENSG00000112079	ANKS1A	STK38	0	6	18	18		/2260_PR40968a_1
ENSG00000072736	16	+	68160513	68160475	ENSG00000172828	16	+	66997082	66997084	ENSG00000072736-ENSG00000172828	NFATC3	CES3	0	10	17	17		/2260_PR40968a_1
ENSG00000178928	19	-	48322229	48322281	ENSG00000136235	7	+	23306136	23306136	ENSG00000178928-ENSG00000136235	TPRX1	GPNMB	0	15	15	15		/2260_PR40968a_1
ENSG00000137491	11	+	74907724	74907679	ENSG00000033327	11	-	78075149	78075146	ENSG00000137491-ENSG00000033327	SLCO2B1	GAB2	0	13	16	14		/2260_PR40968a_1
ENSG00000067560	3	-	49449253	49449310	ENSG00000176095	3	-	49770405	49770400	ENSG00000067560-ENSG00000176095	RHOA	IP6K1	0	12	12	12		/2260_PR40968a_1
ENSG00000035681	8	-	59572132	59571982	ENSG00000174358	5	+	1201710	1201713	ENSG00000035681-ENSG00000174358	NSMAF	SLC6A19	0	8	11	11		/2260_PR40968a_1
ENSG00000101307	20	-	1546876	1546913	ENSG00000198053	20	+	1905410	1905410	ENSG00000101307-ENSG00000198053	SIRPB1	SIRPA	3	0	10	9.5		/2260_PR40968a_1
ENSG00000182986	19	-	53393514	53393526	ENSG00000197497	19	-	53686196	53686138	ENSG00000182986-ENSG00000197497	ZNF320	ZNF665	0	8	9	9		/2260_PR40968a_1
ENSG00000168228	4	+	25353311	25353224	ENSG00000007062	4	-	16040624	16040623	ENSG00000168228-ENSG00000007062	ZCCHC4	PROM1	0	3	9	9		/2260_PR40968a_1
ENSG00000077585	1	+	236347206	236347163	ENSG00000186197	1	+	236572516	236572518	ENSG00000077585-ENSG00000186197	GPR137B	EDARADD	0	7	8	8		/2260_PR40968a_1
ENSG00000104388	8	+	61429812	61429748	ENSG00000235531	8	+	72964774	72964774	ENSG00000104388-ENSG00000235531	RAB2A		0	5	9	8		/2260_PR40968a_1
ENSG00000153046	6	+	4777041	4776992	ENSG00000124641	6	-	41875025	41875025	ENSG00000153046-ENSG00000124641	CDYL	MED20	0	6	7	7		/2260_PR40968a_1
ENSG00000203727	6	+	147830523	147830462	ENSG00000111961	6	+	148711270	148711272	ENSG00000203727-ENSG00000111961	SAMD5	SASH1	0	6	7	7		/2260_PR40968a_1
ENSG00000123124	8	+	87355159	87355108	ENSG00000104324	8	+	97892026	97892028	ENSG00000123124-ENSG00000104324	WWP1	CPQ	0	6	7	7		/2260_PR40968a_1
