X.FusionName	JunctionReadCount	SpanningFragCount	est_J	est_S	SpliceType	LeftGene	LeftBreakpoint	RightGene	RightBreakpoint	LargeAnchorSupport	FFPM	LeftBreakDinuc	LeftBreakEntropy	RightBreakDinuc	RightBreakEntropy	annots	Sample
WDR70--NUP155	29	13	29	12.91	ONLY_REF_SPLICE	WDR70^ENSG00000082068.4	chr5:37396672:+	NUP155^ENSG00000113569.11	chr5:37352931:-	YES_LDAS	0.5201	GT	0.9968	AG	1.7819	[CCLE_StarF2019,INTRACHROMOSOMAL[chr5:0.01Mb],LOCAL_INVERSION:+:-:[8031]]	2260_PR40956d_1
SKP2--ZFR	21	18	21	18	ONLY_REF_SPLICE	SKP2^ENSG00000145604.11	chr5:36171835:+	ZFR^ENSG00000056097.11	chr5:32390543:-	YES_LDAS	0.484	GT	1.8892	AG	1.7819	[INTRACHROMOSOMAL[chr5:3.71Mb]]	2260_PR40956d_1
DROSHA--C1QTNF3	14	9	14	9	ONLY_REF_SPLICE	DROSHA^ENSG00000113360.12	chr5:31406960:-	C1QTNF3^ENSG00000082196.16	chr5:34024113:-	YES_LDAS	0.2855	GT	1.7056	AG	1.7232	[INTRACHROMOSOMAL[chr5:2.49Mb]]	2260_PR40956d_1
RP11-680G10.1--GSE1	12	6	12	0.8	ONLY_REF_SPLICE	RP11-680G10.1^ENSG00000261567.1	chr16:85391249:+	GSE1^ENSG00000131149.13	chr16:85682158:+	YES_LDAS	0.1588	GT	1.9899	AG	1.9656	[INTRACHROMOSOMAL[chr16:0.25Mb]]	2260_PR40956d_1
UGT3A2--NUP155	11	0	11	0	ONLY_REF_SPLICE	UGT3A2^ENSG00000168671.5	chr5:36064351:-	NUP155^ENSG00000113569.11	chr5:37352931:-	YES_LDAS	0.1365	GT	1.8892	AG	1.7819	[INTRACHROMOSOMAL[chr5:1.22Mb]]	2260_PR40956d_1
NIPBL--AMACR	11	9	11	9	ONLY_REF_SPLICE	NIPBL^ENSG00000164190.12	chr5:36962376:+	AMACR^ENSG00000242110.3	chr5:33998932:-	YES_LDAS	0.2482	GT	1.7465	AG	1.7056	[INTRACHROMOSOMAL[chr5:2.87Mb]]	2260_PR40956d_1
TULP4--RP11-732M18.3	9	1	9	0.69	ONLY_REF_SPLICE	TULP4^ENSG00000130338.8	chr6:158735300:+	RP11-732M18.3^ENSG00000236537.1	chr6:158733083:+	YES_LDAS	0.1203	GT	1.8256	AG	1.9086	[INTRACHROMOSOMAL[chr6:0.00Mb],LOCAL_REARRANGEMENT:+:[302]]	2260_PR40956d_1
CTD-2337A12.1--CAST	8	1	8	1	ONLY_REF_SPLICE	CTD-2337A12.1^ENSG00000251314.2	chr5:95715356:+	CAST^ENSG00000153113.19	chr5:96011243:+	YES_LDAS	0.1117	GT	1.7819	AG	1.8295	[INTRACHROMOSOMAL[chr5:0.11Mb]]	2260_PR40956d_1
ZDHHC24--GRIA4	8	2	8	2	ONLY_REF_SPLICE	ZDHHC24^ENSG00000174165.3	chr11:66311175:-	GRIA4^ENSG00000152578.8	chr11:105732750:+	YES_LDAS	0.1241	GT	1.9656	AG	1.9329	[INTRACHROMOSOMAL[chr11:39.17Mb]]	2260_PR40956d_1
TYR--MYO10	8	13	8	13	ONLY_REF_SPLICE	TYR^ENSG00000077498.8	chr11:88924586:+	MYO10^ENSG00000145555.10	chr5:16681612:-	YES_LDAS	0.2606	GT	1.7968	AG	1.9086	[INTERCHROMOSOMAL[chr11--chr5]]	2260_PR40956d_1
PDZD2--SLC1A3	7	3	7	2.9	ONLY_REF_SPLICE	PDZD2^ENSG00000133401.11	chr5:31855274:+	SLC1A3^ENSG00000079215.9	chr5:36676994:+	YES_LDAS	0.1229	GT	1.9656	AG	1.5058	[INTRACHROMOSOMAL[chr5:4.50Mb]]	2260_PR40956d_1
RP1-34H18.1--NAV3	102	4	102	4	ONLY_REF_SPLICE	RP1-34H18.1^ENSG00000231121.2	chr12:77966046:+	NAV3^ENSG00000067798.9	chr12:78334099:+	YES_LDAS	1.0873	GT	1.5329	AG	1.9656	[INTRACHROMOSOMAL[chr12:0.26Mb]]	2260_PR40960a_1
HLA-S--HLA-A	21	0	21	0	ONLY_REF_SPLICE	HLA-S^ENSG00000225851.1	chr6:31350018:-	HLA-A^ENSG00000206503.7	chr6:29913228:+	YES_LDAS	0.2154	GT	1.9656	AG	1.9656	[GTEx_recurrent_StarF2019,HGNC_GENEFAM,INTRACHROMOSOMAL[chr6:1.44Mb]]	2260_PR40960a_1
NDUFS5--MACF1	14	0	14	0	ONLY_REF_SPLICE	NDUFS5^ENSG00000168653.6	chr1:39492070:+	MACF1^ENSG00000127603.19	chr1:39696854:+	YES_LDAS	0.1436	GT	1.7465	AG	1.7465	[CCLE_StarF2019,INTRACHROMOSOMAL[chr1:0.05Mb],NEIGHBORS[46680]]	2260_PR40960a_1
STEAP1B--RAPGEF5	13	1	12.99	1	ONLY_REF_SPLICE	STEAP1B^ENSG00000105889.10	chr7:22532184:-	RAPGEF5^ENSG00000136237.14	chr7:22357656:-	YES_LDAS	0.1436	GT	1.7465	AG	1.8295	[TCGA_StarF2019,CCLE_StarF2019,INTRACHROMOSOMAL[chr7:0.06Mb],NEIGHBORS[62300]]	2260_PR40960a_1
SSH2--POFUT2	119	12	119	12	ONLY_REF_SPLICE	SSH2^ENSG00000141298.13	chr17:28011581:-	POFUT2^ENSG00000186866.12	chr21:46698084:-	YES_LDAS	2.6811	GT	1.9329	AG	1.9086	[INTERCHROMOSOMAL[chr17--chr21]]	2260_PR40961a_1
RP1-34H18.1--NAV3	32	2	32	2	ONLY_REF_SPLICE	RP1-34H18.1^ENSG00000231121.2	chr12:77966046:+	NAV3^ENSG00000067798.9	chr12:78334099:+	YES_LDAS	0.6958	GT	1.5329	AG	1.9656	[INTRACHROMOSOMAL[chr12:0.26Mb]]	2260_PR40961a_1
SNX7--ADCY3	27	6	27	6	ONLY_REF_SPLICE	SNX7^ENSG00000162627.12	chr1:99167459:+	ADCY3^ENSG00000138031.10	chr2:25065253:-	YES_LDAS	0.6754	GT	1.9899	AG	1.9899	[INTERCHROMOSOMAL[chr1--chr2]]	2260_PR40961a_1
SNORA50--CNOT1	21	10	21	10	INCL_NON_REF_SPLICE	SNORA50^ENSG00000206952.2	chr16:58593708:-	CNOT1^ENSG00000125107.12	chr16:58594266:-	YES_LDAS	0.6345	GT	1.6895	AG	1.9086	[INTERCHROMOSOMAL[chr5--chr16]]	2260_PR40961a_1
TULP4--RP11-732M18.3	14	5	14	3.73	ONLY_REF_SPLICE	TULP4^ENSG00000130338.8	chr6:158735300:+	RP11-732M18.3^ENSG00000236537.1	chr6:158703295:+	YES_LDAS	0.3628	GT	1.8256	AG	1.9329	[INTRACHROMOSOMAL[chr6:0.00Mb],LOCAL_REARRANGEMENT:+:[302]]	2260_PR40961a_1
PHF20--CHD6	13	8	13	8	ONLY_REF_SPLICE	PHF20^ENSG00000025293.11	chr20:34519366:+	CHD6^ENSG00000124177.10	chr20:40162209:-	YES_LDAS	0.4298	GT	1.9899	AG	1.5628	[INTRACHROMOSOMAL[chr20:5.49Mb]]	2260_PR40961a_1
TULP4--RP11-732M18.3	11	2	11	0.73	ONLY_REF_SPLICE	TULP4^ENSG00000130338.8	chr6:158735300:+	RP11-732M18.3^ENSG00000236537.1	chr6:158733083:+	YES_LDAS	0.24	GT	1.8256	AG	1.9086	[INTRACHROMOSOMAL[chr6:0.00Mb],LOCAL_REARRANGEMENT:+:[302]]	2260_PR40961a_1
CLEC16A--SNX29	6	2	6	2	ONLY_REF_SPLICE	CLEC16A^ENSG00000038532.10	chr16:11038654:+	SNX29^ENSG00000048471.9	chr16:12121177:+	YES_LDAS	0.1637	GT	1.8892	AG	1.8256	[INTRACHROMOSOMAL[chr16:0.79Mb]]	2260_PR40961a_1
RP11-141M1.3--STARD13	5	2	5	1.43	ONLY_REF_SPLICE	RP11-141M1.3^ENSG00000230490.2	chr13:34013828:-	STARD13^ENSG00000133121.16	chr13:33741759:-	YES_LDAS	0.1316	GT	1.6895	AG	1.6402	[INTRACHROMOSOMAL[chr13:0.00Mb],NEIGHBORS[4576]]	2260_PR40961a_1
RP1-34H18.1--NAV3	40	4	40	4	ONLY_REF_SPLICE	RP1-34H18.1^ENSG00000231121.2	chr12:77966046:+	NAV3^ENSG00000067798.9	chr12:78334099:+	YES_LDAS	0.8456	GT	1.5329	AG	1.9656	[INTRACHROMOSOMAL[chr12:0.26Mb]]	2260_PR40961d_1
SNX7--ADCY3	17	4	17	4	ONLY_REF_SPLICE	SNX7^ENSG00000162627.12	chr1:99167459:+	ADCY3^ENSG00000138031.10	chr2:25065253:-	YES_LDAS	0.4036	GT	1.9899	AG	1.9899	[INTERCHROMOSOMAL[chr1--chr2]]	2260_PR40961d_1
TULP4--RP11-732M18.3	16	1	16	0.42	ONLY_REF_SPLICE	TULP4^ENSG00000130338.8	chr6:158735300:+	RP11-732M18.3^ENSG00000236537.1	chr6:158733083:+	YES_LDAS	0.3156	GT	1.8256	AG	1.9086	[INTRACHROMOSOMAL[chr6:0.00Mb],LOCAL_REARRANGEMENT:+:[302]]	2260_PR40961d_1
TULP4--RP11-732M18.3	16	4	16	3.01	ONLY_REF_SPLICE	TULP4^ENSG00000130338.8	chr6:158735300:+	RP11-732M18.3^ENSG00000236537.1	chr6:158703295:+	YES_LDAS	0.3653	GT	1.8256	AG	1.9329	[INTRACHROMOSOMAL[chr6:0.00Mb],LOCAL_REARRANGEMENT:+:[302]]	2260_PR40961d_1
SNORA50--CNOT1	9	2	9	2	INCL_NON_REF_SPLICE	SNORA50^ENSG00000206952.2	chr16:58593708:-	CNOT1^ENSG00000125107.12	chr16:58594266:-	YES_LDAS	0.2113	GT	1.6895	AG	1.9086	[INTERCHROMOSOMAL[chr5--chr16]]	2260_PR40961d_1
PHF20--CHD6	8	8	8	8	ONLY_REF_SPLICE	PHF20^ENSG00000025293.11	chr20:34519366:+	CHD6^ENSG00000124177.10	chr20:40162209:-	YES_LDAS	0.3074	GT	1.9899	AG	1.5628	[INTRACHROMOSOMAL[chr20:5.49Mb]]	2260_PR40961d_1
RPA3-AS1--GLCCI1	6	0	6	0	ONLY_REF_SPLICE	RPA3-AS1^ENSG00000219545.5	chr7:7841374:+	GLCCI1^ENSG00000106415.8	chr7:8043538:+	YES_LDAS	0.1153	GT	1.9656	AG	1.7465	[INTRACHROMOSOMAL[chr7:0.00Mb],NEIGHBORS[774]]	2260_PR40961d_1
CLEC16A--SNX29	6	0	6	0	ONLY_REF_SPLICE	CLEC16A^ENSG00000038532.10	chr16:11038654:+	SNX29^ENSG00000048471.9	chr16:12121177:+	YES_LDAS	0.1153	GT	1.8892	AG	1.8256	[INTRACHROMOSOMAL[chr16:0.79Mb]]	2260_PR40961d_1
RP11-141M1.3--STARD13	6	2	6	1.78	ONLY_REF_SPLICE	RP11-141M1.3^ENSG00000230490.2	chr13:34013828:-	STARD13^ENSG00000133121.16	chr13:33741759:-	YES_LDAS	0.1495	GT	1.6895	AG	1.6402	[INTRACHROMOSOMAL[chr13:0.00Mb],NEIGHBORS[4576]]	2260_PR40961d_1
TIMM23--PARGP1	6	7	3	3.5	ONLY_REF_SPLICE	TIMM23^ENSG00000138297.9	chr10:51606988:-	PARGP1^ENSG00000214982.6	chr10:51732772:+	YES_LDAS	0.1249	GT	1.7819	AG	1.9086	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr10:0.00Mb],LOCAL_INVERSION:-:+:[52]]	2260_PR40961d_1
RP1-34H18.1--NAV3	50	9	50	9	ONLY_REF_SPLICE	RP1-34H18.1^ENSG00000231121.2	chr12:77966046:+	NAV3^ENSG00000067798.9	chr12:78334099:+	YES_LDAS	0.724	GT	1.5329	AG	1.9656	[INTRACHROMOSOMAL[chr12:0.26Mb]]	2260_PR40961e_1
SNX7--ADCY3	40	21	40	21	ONLY_REF_SPLICE	SNX7^ENSG00000162627.12	chr1:99167459:+	ADCY3^ENSG00000138031.10	chr2:25065253:-	YES_LDAS	0.7485	GT	1.9899	AG	1.9899	[INTERCHROMOSOMAL[chr1--chr2]]	2260_PR40961e_1
PHF20--CHD6	22	19	22	19	ONLY_REF_SPLICE	PHF20^ENSG00000025293.11	chr20:34519366:+	CHD6^ENSG00000124177.10	chr20:40162209:-	YES_LDAS	0.5032	GT	1.9899	AG	1.5628	[INTRACHROMOSOMAL[chr20:5.49Mb]]	2260_PR40961e_1
CLEC16A--SNX29	19	6	19	6	ONLY_REF_SPLICE	CLEC16A^ENSG00000038532.10	chr16:11038654:+	SNX29^ENSG00000048471.9	chr16:12121177:+	YES_LDAS	0.3068	GT	1.8892	AG	1.8256	[INTRACHROMOSOMAL[chr16:0.79Mb]]	2260_PR40961e_1
TULP4--RP11-732M18.3	17	0	17	0	ONLY_REF_SPLICE	TULP4^ENSG00000130338.8	chr6:158735300:+	RP11-732M18.3^ENSG00000236537.1	chr6:158733083:+	YES_LDAS	0.2086	GT	1.8256	AG	1.9086	[INTRACHROMOSOMAL[chr6:0.00Mb],LOCAL_REARRANGEMENT:+:[302]]	2260_PR40961e_1
TULP4--RP11-732M18.3	9	0	9	0	ONLY_REF_SPLICE	TULP4^ENSG00000130338.8	chr6:158735300:+	RP11-732M18.3^ENSG00000236537.1	chr6:158703295:+	YES_LDAS	0.1104	GT	1.8256	AG	1.9329	[INTRACHROMOSOMAL[chr6:0.00Mb],LOCAL_REARRANGEMENT:+:[302]]	2260_PR40961e_1
RP11-141M1.3--STARD13	8	1	8	0.67	ONLY_REF_SPLICE	RP11-141M1.3^ENSG00000230490.2	chr13:34013828:-	STARD13^ENSG00000133121.16	chr13:33741759:-	YES_LDAS	0.1064	GT	1.6895	AG	1.6402	[INTRACHROMOSOMAL[chr13:0.00Mb],NEIGHBORS[4576]]	2260_PR40961e_1
EEF1DP3--FRY	8	4	8	4	ONLY_REF_SPLICE	EEF1DP3^ENSG00000229715.4	chr13:32520318:+	FRY^ENSG00000073910.15	chr13:32652971:+	YES_LDAS	0.1473	GT	1.8256	AG	1.7819	[GTEx_recurrent_StarF2019,Babiceanu_Normal,INTRACHROMOSOMAL[chr13:0.08Mb],NEIGHBORS[77828]]	2260_PR40961e_1
RP11-680G10.1--GSE1	8	9	8	8.06	ONLY_REF_SPLICE	RP11-680G10.1^ENSG00000261567.1	chr16:85391249:+	GSE1^ENSG00000131149.13	chr16:85667520:+	YES_LDAS	0.1971	GT	1.9899	AG	1.9329	[INTRACHROMOSOMAL[chr16:0.25Mb]]	2260_PR40961e_1
SNORA50--CNOT1	7	2	7	2	INCL_NON_REF_SPLICE	SNORA50^ENSG00000206952.2	chr16:58593708:-	CNOT1^ENSG00000125107.12	chr16:58594266:-	YES_LDAS	0.1104	GT	1.6895	AG	1.9086	[INTERCHROMOSOMAL[chr5--chr16]]	2260_PR40961e_1
RPA3-AS1--GLCCI1	7	5	7	5	ONLY_REF_SPLICE	RPA3-AS1^ENSG00000219545.5	chr7:7841374:+	GLCCI1^ENSG00000106415.8	chr7:8043538:+	YES_LDAS	0.1473	GT	1.9656	AG	1.7465	[INTRACHROMOSOMAL[chr7:0.00Mb],NEIGHBORS[774]]	2260_PR40961e_1
TIMM23--PARGP1	7	12	3.5	6	ONLY_REF_SPLICE	TIMM23^ENSG00000138297.9	chr10:51606988:-	PARGP1^ENSG00000214982.6	chr10:51732772:+	YES_LDAS	0.1165	GT	1.7819	AG	1.9086	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr10:0.00Mb],LOCAL_INVERSION:-:+:[52]]	2260_PR40961e_1
RP1-34H18.1--NAV3	12	1	12	1	ONLY_REF_SPLICE	RP1-34H18.1^ENSG00000231121.2	chr12:77966046:+	NAV3^ENSG00000067798.9	chr12:78334099:+	YES_LDAS	0.1122	GT	1.5329	AG	1.9656	[INTRACHROMOSOMAL[chr12:0.26Mb]]	2260_PR40962a_1
SNORA50--CNOT1	12	3	12	3	INCL_NON_REF_SPLICE	SNORA50^ENSG00000206952.2	chr16:58593708:-	CNOT1^ENSG00000125107.12	chr16:58594266:-	YES_LDAS	0.1295	GT	1.6895	AG	1.9086	[INTERCHROMOSOMAL[chr5--chr16]]	2260_PR40962a_1
TULP4--RP11-732M18.3	11	4	11	2.59	ONLY_REF_SPLICE	TULP4^ENSG00000130338.8	chr6:158735300:+	RP11-732M18.3^ENSG00000236537.1	chr6:158733083:+	YES_LDAS	0.1174	GT	1.8256	AG	1.9086	[INTRACHROMOSOMAL[chr6:0.00Mb],LOCAL_REARRANGEMENT:+:[302]]	2260_PR40962a_1
NUP37--KAT7	9	4	9	4	ONLY_REF_SPLICE	NUP37^ENSG00000075188.4	chr12:102468779:-	KAT7^ENSG00000136504.7	chr17:47900564:+	YES_LDAS	0.1122	GT	1.9656	AG	1.7968	[INTERCHROMOSOMAL[chr12--chr17]]	2260_PR40962a_1
RP11-680G10.1--GSE1	11	2	11	2	ONLY_REF_SPLICE	RP11-680G10.1^ENSG00000261567.1	chr16:85391249:+	GSE1^ENSG00000131149.13	chr16:85667520:+	YES_LDAS	0.5045	GT	1.9899	AG	1.9329	[INTRACHROMOSOMAL[chr16:0.25Mb]]	2260_PR40964a_1
TULP4--RP11-732M18.3	3	0	3	0	ONLY_REF_SPLICE	TULP4^ENSG00000130338.8	chr6:158735300:+	RP11-732M18.3^ENSG00000236537.1	chr6:158733083:+	YES_LDAS	0.1164	GT	1.8256	AG	1.9086	[INTRACHROMOSOMAL[chr6:0.00Mb],LOCAL_REARRANGEMENT:+:[302]]	2260_PR40964a_1
CIRH1A--SNTB2	2	2	2	2	ONLY_REF_SPLICE	CIRH1A^ENSG00000141076.13	chr16:69177292:+	SNTB2^ENSG00000168807.12	chr16:69304046:+	YES_LDAS	0.1552	GT	1.9656	AG	1.8892	[INTRACHROMOSOMAL[chr16:0.04Mb],NEIGHBORS_OVERLAP:+:+:[44001]]	2260_PR40964a_1
ALS2--OSBPL6	29	17	29	17	ONLY_REF_SPLICE	ALS2^ENSG00000003393.10	chr2:202587766:-	OSBPL6^ENSG00000079156.12	chr2:179213951:+	YES_LDAS	0.7728	GT	1.9329	AG	1.7465	[INTRACHROMOSOMAL[chr2:23.30Mb]]	2260_PR40965f_1
VTI1A--SORCS1	25	5	25	5	ONLY_REF_SPLICE	VTI1A^ENSG00000151532.9	chr10:114224416:+	SORCS1^ENSG00000108018.11	chr10:108716338:-	YES_LDAS	0.504	GT	1.9086	AG	1.7232	[INTRACHROMOSOMAL[chr10:5.28Mb]]	2260_PR40965f_1
STEAP1--RAPGEF5	17	1	8.5	0.5	ONLY_REF_SPLICE	STEAP1^ENSG00000164647.4	chr7:89791392:+	RAPGEF5^ENSG00000136237.14	chr7:22357656:-	YES_LDAS	0.1512	GT	1.7465	AG	1.8295	[CCLE_StarF2019,INTRACHROMOSOMAL[chr7:67.39Mb]]	2260_PR40965f_1
ADCY2--ADAMTS16	12	0	12	0	ONLY_REF_SPLICE	ADCY2^ENSG00000078295.11	chr5:7773214:+	ADAMTS16^ENSG00000145536.11	chr5:5232481:+	YES_LDAS	0.2016	GT	1.7819	AG	1.6049	[INTRACHROMOSOMAL[chr5:2.08Mb]]	2260_PR40965f_1
RP1-34H18.1--NAV3	11	0	11	0	ONLY_REF_SPLICE	RP1-34H18.1^ENSG00000231121.2	chr12:77966046:+	NAV3^ENSG00000067798.9	chr12:78334099:+	YES_LDAS	0.1848	GT	1.5329	AG	1.9656	[INTRACHROMOSOMAL[chr12:0.26Mb]]	2260_PR40965f_1
SNORA50--CNOT1	10	4	10	4	INCL_NON_REF_SPLICE	SNORA50^ENSG00000206952.2	chr16:58593708:-	CNOT1^ENSG00000125107.12	chr16:58594266:-	YES_LDAS	0.2352	GT	1.6895	AG	1.9086	[INTERCHROMOSOMAL[chr5--chr16]]	2260_PR40965f_1
CRKL--NPR3	10	4	10	3.93	ONLY_REF_SPLICE	CRKL^ENSG00000099942.8	chr22:21272533:+	NPR3^ENSG00000113389.11	chr5:32724804:+	YES_LDAS	0.234	GT	1.6895	AG	1.7056	[INTERCHROMOSOMAL[chr22--chr5]]	2260_PR40965f_1
KIAA1715--EPHA4	9	0	9	0	ONLY_REF_SPLICE	KIAA1715^ENSG00000144320.9	chr2:176866888:-	EPHA4^ENSG00000116106.7	chr2:222310901:-	YES_LDAS	0.1512	GT	1.8062	AG	1.7968	[INTRACHROMOSOMAL[chr2:45.42Mb]]	2260_PR40965f_1
TULP4--RP11-732M18.3	9	1	9	0.75	ONLY_REF_SPLICE	TULP4^ENSG00000130338.8	chr6:158735300:+	RP11-732M18.3^ENSG00000236537.1	chr6:158733083:+	YES_LDAS	0.1638	GT	1.8256	AG	1.9086	[INTRACHROMOSOMAL[chr6:0.00Mb],LOCAL_REARRANGEMENT:+:[302]]	2260_PR40965f_1
RP11-367G6.3--FAM65B	8	0	8	0	ONLY_REF_SPLICE	RP11-367G6.3^ENSG00000272053.1	chr6:25042079:-	FAM65B^ENSG00000111913.11	chr6:24876045:-	YES_LDAS	0.1344	GT	1.7465	AG	1.7819	[INTRACHROMOSOMAL[chr6:0.08Mb],NEIGHBORS[78992]]	2260_PR40965f_1
HLA-S--HLA-A	7	0	7	0	ONLY_REF_SPLICE	HLA-S^ENSG00000225851.1	chr6:31350018:-	HLA-A^ENSG00000206503.7	chr6:29913228:+	YES_LDAS	0.1176	GT	1.9656	AG	1.9656	[GTEx_recurrent_StarF2019,HGNC_GENEFAM,INTRACHROMOSOMAL[chr6:1.44Mb]]	2260_PR40965f_1
RP11-680G10.1--GSE1	5	1	5	1	ONLY_REF_SPLICE	RP11-680G10.1^ENSG00000261567.1	chr16:85391249:+	GSE1^ENSG00000131149.13	chr16:85667520:+	YES_LDAS	0.1008	GT	1.9899	AG	1.9329	[INTRACHROMOSOMAL[chr16:0.25Mb]]	2260_PR40965f_1
MTRR--CTD-2143L24.1	5	4	5	3.57	ONLY_REF_SPLICE	MTRR^ENSG00000124275.10	chr5:7897069:+	CTD-2143L24.1^ENSG00000249781.2	chr5:9884116:-	YES_LDAS	0.144	GT	1.8892	AG	1.7056	[INTRACHROMOSOMAL[chr5:1.74Mb]]	2260_PR40965f_1
EP300--EYS	18	7	18	7	ONLY_REF_SPLICE	EP300^ENSG00000100393.9	chr22:41546202:+	EYS^ENSG00000188107.9	chr6:64709076:-	YES_LDAS	0.366	GT	1.7968	AG	1.8892	[INTERCHROMOSOMAL[chr22--chr6]]	2260_PR40966a_1
RP1-34H18.1--NAV3	15	3	15	3	ONLY_REF_SPLICE	RP1-34H18.1^ENSG00000231121.2	chr12:77966046:+	NAV3^ENSG00000067798.9	chr12:78334099:+	YES_LDAS	0.2635	GT	1.5329	AG	1.9656	[INTRACHROMOSOMAL[chr12:0.26Mb]]	2260_PR40966a_1
RP11-367G6.3--FAM65B	11	2	11	2	ONLY_REF_SPLICE	RP11-367G6.3^ENSG00000272053.1	chr6:25042079:-	FAM65B^ENSG00000111913.11	chr6:24876045:-	YES_LDAS	0.1903	GT	1.7465	AG	1.7819	[INTRACHROMOSOMAL[chr6:0.08Mb],NEIGHBORS[78992]]	2260_PR40966a_1
RP11-411K7.1--MLIP	10	3	10	3	ONLY_REF_SPLICE	RP11-411K7.1^ENSG00000236740.2	chr6:53847648:+	MLIP^ENSG00000146147.10	chr6:53986245:+	YES_LDAS	0.1903	GT	1.7465	AG	1.5219	[INTRACHROMOSOMAL[chr6:0.02Mb],NEIGHBORS[21249]]	2260_PR40966a_1
HNRNPA2B1--PPP6R3	10	8	10	8	ONLY_REF_SPLICE	HNRNPA2B1^ENSG00000122566.16	chr7:26235467:-	PPP6R3^ENSG00000110075.10	chr11:68272613:+	YES_LDAS	0.2635	GT	1.6402	AG	1.6049	[INTERCHROMOSOMAL[chr7--chr11]]	2260_PR40966a_1
